Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,107.940002,108.430000,105.290001,105.760002,105.760002,40610000
1980-01-03,105.760002,106.080002,103.260002,105.220001,105.220001,50480000
1980-01-04,105.220001,107.080002,105.089996,106.519997,106.519997,39130000
1980-01-07,106.519997,107.800003,105.800003,106.809998,106.809998,44500000
1980-01-08,106.809998,109.290001,106.290001,108.949997,108.949997,53390000
1980-01-09,108.949997,111.089996,108.410004,109.050003,109.050003,65260000
1980-01-10,109.050003,110.860001,108.470001,109.889999,109.889999,55980000
1980-01-11,109.889999,111.160004,108.889999,109.919998,109.919998,52890000
1980-01-14,109.919998,111.440002,109.339996,110.379997,110.379997,52930000
1980-01-15,110.379997,111.930000,109.449997,111.139999,111.139999,52320000
1980-01-16,111.139999,112.900002,110.379997,111.050003,111.050003,67700000
1980-01-17,111.050003,112.010002,109.809998,110.699997,110.699997,54170000
1980-01-18,110.699997,111.739998,109.879997,111.070000,111.070000,47150000
1980-01-21,111.070000,112.900002,110.660004,112.099998,112.099998,48040000
1980-01-22,112.099998,113.099998,110.919998,111.510002,111.510002,50620000
1980-01-23,111.510002,113.930000,110.930000,113.440002,113.440002,50730000
1980-01-24,113.440002,115.269997,112.949997,113.699997,113.699997,59070000
1980-01-25,113.699997,114.449997,112.360001,113.610001,113.610001,47100000
1980-01-28,113.610001,115.650002,112.930000,114.849998,114.849998,53620000
1980-01-29,114.849998,115.769997,113.029999,114.070000,114.070000,55480000
1980-01-30,114.070000,115.849998,113.370003,115.199997,115.199997,51170000
1980-01-31,115.199997,117.169998,113.779999,114.160004,114.160004,65900000
1980-02-01,114.160004,115.540001,113.129997,115.120003,115.120003,46610000
1980-02-04,115.120003,116.010002,113.830002,114.370003,114.370003,43070000
1980-02-05,114.370003,115.250000,112.150002,114.660004,114.660004,41880000
1980-02-06,114.660004,116.570000,113.650002,115.720001,115.720001,51950000
1980-02-07,115.720001,117.870003,115.220001,116.279999,116.279999,57690000
1980-02-08,116.279999,118.660004,115.720001,117.949997,117.949997,57860000
1980-02-11,117.949997,119.050003,116.309998,117.120003,117.120003,58660000
1980-02-12,117.120003,118.410004,115.750000,117.900002,117.900002,48090000
1980-02-13,117.900002,120.220001,117.570000,118.440002,118.440002,65230000
1980-02-14,118.440002,119.300003,116.040001,116.720001,116.720001,50540000
1980-02-15,116.699997,116.699997,114.120003,115.410004,115.410004,46680000
1980-02-19,115.410004,115.669998,113.349998,114.599998,114.599998,39480000
1980-02-20,114.599998,117.180000,114.059998,116.470001,116.470001,44340000
1980-02-21,116.470001,117.900002,114.440002,115.279999,115.279999,51530000
1980-02-22,115.279999,116.459999,113.430000,115.040001,115.040001,48210000
1980-02-25,114.930000,114.930000,112.620003,113.330002,113.330002,39140000
1980-02-26,113.330002,114.760002,112.300003,113.980003,113.980003,40000000
1980-02-27,113.980003,115.120003,111.910004,112.379997,112.379997,46430000
1980-02-28,112.379997,113.699997,111.330002,112.349998,112.349998,40330000
1980-02-29,112.349998,114.120003,111.769997,113.660004,113.660004,38810000
1980-03-03,113.660004,114.339996,112.010002,112.500000,112.500000,38690000
1980-03-04,112.500000,113.410004,110.830002,112.779999,112.779999,44310000
1980-03-05,112.779999,113.940002,110.580002,111.129997,111.129997,49240000
1980-03-06,111.129997,111.290001,107.849998,108.650002,108.650002,49610000
1980-03-07,108.650002,108.959999,105.989998,106.900002,106.900002,50950000
1980-03-10,106.900002,107.860001,104.919998,106.510002,106.510002,43750000
1980-03-11,106.510002,108.540001,106.180000,107.779999,107.779999,41350000
1980-03-12,107.779999,108.400002,105.419998,106.870003,106.870003,37990000
1980-03-13,106.870003,107.550003,105.099998,105.620003,105.620003,33070000
1980-03-14,105.620003,106.489998,104.010002,105.430000,105.430000,35180000
1980-03-17,105.230003,105.230003,101.820000,102.260002,102.260002,37020000
1980-03-18,102.260002,104.709999,101.139999,104.099998,104.099998,47340000
1980-03-19,104.099998,105.720001,103.349998,104.309998,104.309998,36520000
1980-03-20,104.309998,105.169998,102.519997,103.120003,103.120003,32580000
1980-03-21,103.120003,103.730003,101.550003,102.309998,102.309998,32220000
1980-03-24,102.180000,102.180000,98.879997,99.279999,99.279999,39230000
1980-03-25,99.279999,100.580002,97.889999,99.190002,99.190002,43790000
1980-03-26,99.190002,101.220001,98.099998,98.680000,98.680000,37370000
1980-03-27,98.680000,99.580002,94.230003,98.220001,98.220001,63680000
1980-03-28,98.220001,101.430000,97.720001,100.680000,100.680000,46720000
1980-03-31,100.680000,102.650002,100.019997,102.089996,102.089996,35840000
1980-04-01,102.089996,103.279999,100.849998,102.180000,102.180000,32230000
1980-04-02,102.180000,103.870003,101.449997,102.680000,102.680000,35210000
1980-04-03,102.680000,103.339996,101.309998,102.150002,102.150002,27970000
1980-04-07,102.150002,102.269997,99.730003,100.190002,100.190002,29130000
1980-04-08,100.190002,101.879997,99.230003,101.199997,101.199997,31700000
1980-04-09,101.199997,103.599998,101.010002,103.110001,103.110001,33020000
1980-04-10,103.110001,105.000000,102.809998,104.080002,104.080002,33940000
1980-04-11,104.080002,105.150002,103.199997,103.790001,103.790001,29960000
1980-04-14,103.790001,103.919998,102.080002,102.839996,102.839996,23060000
1980-04-15,102.839996,103.940002,101.849998,102.629997,102.629997,26670000
1980-04-16,102.629997,104.419998,101.129997,101.540001,101.540001,39730000
1980-04-17,101.540001,102.209999,100.120003,101.050003,101.050003,32770000
1980-04-18,101.050003,102.070000,99.970001,100.550003,100.550003,26880000
1980-04-21,100.550003,101.260002,98.949997,99.800003,99.800003,27560000
1980-04-22,100.809998,104.019997,100.809998,103.430000,103.430000,47920000
1980-04-23,103.430000,105.110001,102.809998,103.730003,103.730003,42620000
1980-04-24,103.730003,105.430000,102.930000,104.400002,104.400002,35790000
1980-04-25,104.400002,105.570000,103.019997,105.160004,105.160004,28590000
1980-04-28,105.160004,106.790001,104.639999,105.639999,105.639999,30600000
1980-04-29,105.639999,106.699997,104.860001,105.860001,105.860001,27940000
1980-04-30,105.860001,106.720001,104.500000,106.290001,106.290001,30850000
1980-05-01,106.290001,106.860001,104.720001,105.459999,105.459999,32480000
1980-05-02,105.459999,106.250000,104.610001,105.580002,105.580002,28040000
1980-05-05,105.580002,106.830002,104.639999,106.379997,106.379997,34090000
1980-05-06,106.379997,107.830002,105.360001,106.250000,106.250000,40160000
1980-05-07,106.250000,108.120003,105.830002,107.180000,107.180000,42600000
